 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account

 Ground state electric dipole moment in X,Y,Z:    0.000000   -0.000000    0.000002 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1    -0.0000139     0.0000462    -0.0000000     2.75590     0.00000
     0     2    -1.1112559     3.3753054    -0.0000000     4.11460     1.27293
     0     3    -0.6886780    -0.5246131    -0.0000000     4.72910     0.08684
     0     4    -0.0000000     0.0000000     0.0000015     4.74210     0.00000
     0     5    -0.0000000    -0.0000000     0.0000041     5.41280     0.00000
     0     6    -1.5049810    -1.4869076     0.0000000     5.97700     0.65542
     0     7    -0.0000195    -0.0000221    -0.0000000     6.00890     0.00000
     0     8     0.0000000    -0.0000000    -0.0000022     6.04010     0.00000
     0     9    -0.0000000     0.0000000    -0.1006668     6.11310     0.00152
     0    10     0.0000000    -0.0000000     0.1168090     6.20380     0.00207
     0    11     0.0000000    -0.0000000    -0.0899781     6.32590     0.00125
     0    12     0.0000000    -0.0000000    -0.0000039     6.35070     0.00000
     0    13     0.0000012    -0.0000032     0.0000000     6.47230     0.00000
     0    14     1.2121335    -1.7938445    -0.0000000     6.51680     0.74834
     0    15    -0.0000000     0.0000000     0.0000005     6.60490     0.00000
     0    16     0.0000080     0.0000043     0.0000000     6.73430     0.00000
     0    17    -0.0000000    -0.0000000    -0.0350240     6.79030     0.00020
     0    18    -0.0000000    -0.0000000     0.2082455     6.79280     0.00722
     0    19     0.0000040     0.0000019     0.0000000     6.79750     0.00000
     0    20    -0.0000015    -0.0000009    -0.0000000     6.80460     0.00000
     0    21    -0.4726445    -0.1031305    -0.0000000     6.86760     0.03938
     0    22    -0.0000000     0.0000000     0.3599581     6.92210     0.02197
     0    23     0.0000000    -0.0000000    -0.0426124     7.07590     0.00031
     0    24    -0.0000170     0.0000071     0.0000000     7.10510     0.00000
     0    25     0.0000000    -0.0000000    -0.0000065     7.11220     0.00000
     0    26    -0.1130272     0.2277913     0.0000000     7.12940     0.01129
